Profile_Id,Profile_Name,Profile_Link,Designation
1,Aliano Abbasi,https://pureportal.coventry.ac.uk/en/persons/aliano-abbasi/publications/,False
2,Sally Abbott,https://pureportal.coventry.ac.uk/en/persons/sally-abbott/publications/,Assistant Professor (Research)
3,Mohamed Abdelshafy,https://pureportal.coventry.ac.uk/en/persons/mohamed-abdelshafy/publications/,Assistant Professor Academic
4,Mohamad Nazri Abd Karim,https://pureportal.coventry.ac.uk/en/persons/mohamad-nazri-abd-karim/publications/,Lecturer in Finance
5,Al-Noor Abdullah,https://pureportal.coventry.ac.uk/en/persons/al-noor-abdullah/publications/,Lecturer in Business Management
6,Muhammad Abdullah,https://pureportal.coventry.ac.uk/en/persons/muhammad-abdullah/publications/,Lecturer in Finance
7,Mohammed Abdullahi,https://pureportal.coventry.ac.uk/en/persons/mohammed-abdullahi/publications/,Lecturer in Leadership and Management in Health
8,Abdulgafar Abdulraheem,https://pureportal.coventry.ac.uk/en/persons/abdulgafar-abdulraheem/publications/,False
9,Rozailin Abdul Rahman,https://pureportal.coventry.ac.uk/en/persons/rozailin-abdul-rahman/publications/,Lecturer in Enterprise and Entrepreneurship
10,Rakib Abdur,https://pureportal.coventry.ac.uk/en/persons/rakib-abdur/publications/,Associate Professor (Systems Security)
11,Alfiatunnur Abdurrahman,https://pureportal.coventry.ac.uk/en/persons/alfiatunnur-abdurrahman/publications/,False
12,Jackie Abell,https://pureportal.coventry.ac.uk/en/persons/jackie-abell/publications/,Associate Professor Research
13,Rebecca Aberton,https://pureportal.coventry.ac.uk/en/persons/rebecca-aberton/publications/,"Lecturer in Childhood, Youth and Education Studies"
14,Rabia Abid,https://pureportal.coventry.ac.uk/en/persons/rabia-abid/publications/,Assistant Lecturer in Aerospace Engineering
15,Siham Aboujanah,https://pureportal.coventry.ac.uk/en/persons/siham-aboujanah/publications/,False
16,Habib Abubakar,https://pureportal.coventry.ac.uk/en/persons/habib-abubakar/publications/,FBL PhD Student Worker
17,Adam Abukari,https://pureportal.coventry.ac.uk/en/persons/adam-abukari/publications/,Assistant Professor (Research)
18,Pius Maduakonam Achuama,https://pureportal.coventry.ac.uk/en/persons/pius-maduakonam-achuama/publications/,False
19,Joseph Esuman Acquaah,https://pureportal.coventry.ac.uk/en/persons/joseph-esuman-acquaah/publications/,False
20,Elijah Acquah Andoh,https://pureportal.coventry.ac.uk/en/persons/elijah-acquah-andoh-2/publications/,False
21,Abiodun 'Abbey' Adanikin,https://pureportal.coventry.ac.uk/en/persons/abiodun-abbey-adanikin/publications/,Assistant Professor (Research)
22,Victor Aderogba Adebiyi,https://pureportal.coventry.ac.uk/en/persons/victor-aderogba-adebiyi/publications/,False
